component,final_status,model_target,pre_modelling_status,final_rationale
DAM_RAD,MODELLED,FORWARD_COCKPIT_DAMAGE,CANDIDATE VIA GROUP,Retained as a source field within the pooled FORWARD_COCKPIT_DAMAGE target. The final model estimates damage to any represented forward/cockpit component rather than DAM_RAD independently.
DAM_WINDSHLD,MODELLED,FORWARD_COCKPIT_DAMAGE,CANDIDATE VIA GROUP,Retained as a source field within the pooled FORWARD_COCKPIT_DAMAGE target. The final model estimates damage to any represented forward/cockpit component rather than DAM_WINDSHLD independently.
DAM_NOSE,MODELLED,FORWARD_COCKPIT_DAMAGE,CANDIDATE VIA GROUP,Retained as a source field within the pooled FORWARD_COCKPIT_DAMAGE target. The final model estimates damage to any represented forward/cockpit component rather than DAM_NOSE independently.
DAM_ENG1,MODELLED,ENGINE_DAMAGE,CANDIDATE VIA GROUP,Retained as a source field within the pooled ENGINE_DAMAGE target. The final predictive model estimates whether any engine was damaged; it does not estimate DAM_ENG1 independently.
DAM_ENG2,MODELLED,ENGINE_DAMAGE,CANDIDATE VIA GROUP,Retained as a source field within the pooled ENGINE_DAMAGE target. The final predictive model estimates whether any engine was damaged; it does not estimate DAM_ENG2 independently.
DAM_ENG3,MODELLED,ENGINE_DAMAGE,CANDIDATE VIA GROUP,"Retained only as a source field within the pooled ENGINE_DAMAGE target. DAM_ENG3 was too sparse for reliable standalone modelling, so no individual engine-position classifier was fitted."
DAM_ENG4,MODELLED,ENGINE_DAMAGE,CANDIDATE VIA GROUP,"Retained only as a source field within the pooled ENGINE_DAMAGE target. DAM_ENG4 was too sparse for reliable standalone modelling, so no individual engine-position classifier was fitted."
DAM_PROP,MODELLED,PROPELLER_DAMAGE,CANDIDATE VIA GROUP,Represented by retained binary target PROPELLER_DAMAGE. This component passed the final simulation decision gate.
DAM_WING_ROT,MODELLED,WING_ROTOR_DAMAGE,CANDIDATE VIA GROUP,Represented by retained binary target WING_ROTOR_DAMAGE. This component passed the final simulation decision gate.
DAM_FUSE,DESCRIPTIVE ONLY,FUSELAGE_DAMAGE,CANDIDATE VIA GROUP,"Represented by FUSELAGE_DAMAGE, which did not pass the final simulation decision gate. The original FAA field is retained for descriptive reporting but is not exported as a probability model."
DAM_LG,MODELLED,LANDING_GEAR_DAMAGE,CANDIDATE VIA GROUP,Represented by retained binary target LANDING_GEAR_DAMAGE. This component passed the final simulation decision gate.
DAM_TAIL,DESCRIPTIVE ONLY,TAIL_DAMAGE,CANDIDATE VIA GROUP,"Represented by TAIL_DAMAGE, which did not pass the final simulation decision gate. The original FAA field is retained for descriptive reporting but is not exported as a probability model."
DAM_LGHTS,DESCRIPTIVE ONLY,LIGHTS_DAMAGE,CANDIDATE VIA GROUP,"Represented by LIGHTS_DAMAGE, which did not pass the final simulation decision gate. The original FAA field is retained for descriptive reporting but is not exported as a probability model."
DAM_OTHER,EXCLUDED,,DESCRIPTIVE ONLY,Heterogeneous 'other' category has no stable component meaning for simulation.
